instruction,model_output,parsed_title,title_in_dataset,matched_by,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients,corrected_output,correction_type,correction_reason
Recommend a quick recipe that takes less than 30 minutes.,"Easy Lemon Pound Cake - Takes 25 minutes, 290.7 calories, serves 12.",Easy Lemon Pound Cake,True,exact,False,True,False,{'duration_max': 30.0},"{'calories': 290.7, 'duration': 25.0, 'serves': 12.0}",[],"Easy Lemon Pound Cake - 339 calories, 4.7g protein, 246mg sodium, ready in 70 minutes, serves 8. Ingredients: {'': [('butter, melted', '0.5 time(s) cup '), ('sugar', '1  time(s) cup '), ('eggs, well beaten', '2  time(s) '), ('lemon juice', '1  time(s) tablespoon '), ('salt', '0.25 time(s) teaspoon '), ('flour', '1 1/2 time(s) cups '), ('baking powder', '1  time(s) teaspoon '), ('milk', '0.5 time(s) cup '), ('lemon juice', '0.3333333333333333 time(s) cup '), ('sugar', '0.25 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Lemon and Garlic Marinated Chicken - 253.6 calories, 32.8g protein, 18.3g fat, 0.1g carbs.",Lemon and Garlic Marinated Chicken,True,fuzzy,True,True,False,{'balanced': True},"{'calories': 253.6, 'protein': 32.8, 'carbs': 0.1, 'total_fat': 18.3}",[],"Lemon Garlic Marinated Chicken - 227 calories, 29.1g protein, 86mg sodium, ready in 50 minutes, serves 4. Ingredients: {'': [('boneless skinless chicken breasts', '4  time(s) '), ('garlic cloves, crushed', '3  time(s) '), ('lemons, zest and juice', '3  time(s) '), ('red chili pepper, deseeded and finely chopped', '1  time(s) '), ('clear honey', '4  time(s) tablespoons '), ('ground coriander', '2  time(s) tablespoons '), ('salt & freshly ground black pepper', ' time(s) '), ('cilantro', '1  time(s) ounce ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a balanced meal with moderate calories and good protein.,"Chicken Stuffed with Spinach and Feta - 270.0 calories, 19.6g protein, 20.1g fat, 2.7g carbs.",Chicken Stuffed with Spinach and Feta,True,fuzzy,True,True,False,{'balanced': True},"{'calories': 270.0, 'protein': 19.6, 'carbs': 2.7, 'total_fat': 20.1}","['spinach', 'feta - 270']","Chicken Breast Stuffed With Spinach and Feta - 438 calories, 34.3g protein, 326mg sodium, ready in 35 minutes, serves 4. Ingredients: {'': [('chicken breasts', '4  time(s) '), ('minced garlic', '3  time(s) tablespoons '), ('large sweet onion, chopped', '0.25 time(s) '), ('fresh spinach', '4  time(s) cups '), ('feta, crumbled (or amount desired)', '0.5 time(s) cup '), ('extra virgin olive oil', '4  time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe around 682 calories.,"Chicken With Cheddar Cheese Sauce - 682.5 calories, 45.6g protein, ready in 60 minutes.",Chicken With Cheddar Cheese Sauce,True,fuzzy,False,True,False,"{'calories_min': 632.0, 'calories_max': 732.0}","{'calories': 682.5, 'protein': 45.6, 'duration': 60.0}",['cheddar cheese sauce - 682'],"Chicken With Cheese Sauce - 754 calories, 52.8g protein, 647mg sodium, ready in 50 minutes, serves 4. Ingredients: {'': [('spinach fettuccine', '12  time(s) ounces '), ('butter', '3  time(s) tablespoons '), ('boneless skinless chicken breasts', '4  time(s) '), ('flour', '0.5 time(s) cup '), ('pepper (to taste)', '0.5 time(s) tablespoon '), ('onions, finely chopped', '2  time(s) tablespoons '), ('chicken broth', '1  time(s) cup '), ('milk', '1  time(s) cup '), ('white wine', '0.25 time(s) cup '), ('sharp cheddar cheese', '1 1/2 time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe around 3116 calories.,"The Best German Chocolate Cake - 3116.9 calories, 50.7g protein, ready in 110 minutes.",The Best German Chocolate Cake,True,fuzzy,False,True,False,"{'calories_min': 3066.0, 'calories_max': 3166.0}","{'calories': 3116.9, 'protein': 50.7, 'duration': 110.0}",[],"The Best German's Chocolate Cake - 362 calories, 4.7g protein, 307mg sodium, ready in 90 minutes, serves 14. Ingredients: {'': [(""package baker's german's sweet chocolate"", '1 time(s) (4 ounce) '), ('water, boiling', '0.5 time(s) cup '), ('butter (2 sticks)', '1  time(s) cup '), ('sugar', '2  time(s) cups '), ('eggs, separated', '4  time(s) '), ('vanilla', '1  time(s) teaspoon '), ('flour', '2  time(s) cups '), ('baking soda', '1  time(s) teaspoon '), ('salt', '0.5 time(s) teaspoon '), ('buttermilk', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 65 minutes.,"Quick and Easy Chicken and Pasta - Takes 60 minutes, 374.0 calories, serves 1.",Quick and Easy Chicken and Pasta,True,fuzzy,True,True,False,{'duration_max': 65.0},"{'calories': 374.0, 'duration': 60.0, 'serves': 1.0}",[],"Quick and Easy Balsamic Chicken and Pasta - 595 calories, 41.5g protein, 146mg sodium, ready in 30 minutes, serves 4. Ingredients: {'': [('chicken tenders', '1  time(s) lb '), ('(not lite)', '1 time(s) (16 ounce) bottle balsamic dressing '), ('diced tomatoes, drained', '1 time(s) (15 ounce) can '), ('snow peas', '0.5 time(s) lb '), ('salt', ' time(s) '), ('box pasta, cooked and drained', '1 time(s) (1 lb) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
List a low-sodium recipe under 1097mg sodium.,"Creamy Chicken & Rice Casserole - 1081.3mg sodium, 364.2 calories, 55 minutes prep time.",Creamy Chicken & Rice Casserole,True,exact,True,True,False,"{'calories_max': 1097.0, 'sodium_max': 1097.0}","{'calories': 364.2, 'sodium': 1081.3, 'duration': 55.0}",[],"Creamy Chicken & Rice Casserole - 373 calories, 18.3g protein, 539mg sodium, ready in 65 minutes, serves 4. Ingredients: {'': [('chicken (any type just stay around $3.00 per pkg.)', '1  time(s) lb '), ('of uncooked white rice, not instant rice ($0.99 per box)', '0.75 time(s) cup '), ('cream of mushroom soup ($0.50 at wal-mart)', '1 time(s) (10 1/2 ounce) can '), ('paprika (or just use your favorite all season spice)', '0.25 time(s) teaspoon '), ('black pepper', '0.25 time(s) teaspoon '), ('water', '1 1/3 time(s) cups '), ('green beans ($0.50 at wal-mart)', '1 time(s) (14 1/2 ounce) can ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 1298mg sodium.,"Spicy Chicken Sausage and Shrimp Jambalaya - 1295.9mg sodium, 288.8 calories, 30 minutes prep time.",Spicy Chicken Sausage and Shrimp Jambalaya,True,fuzzy,False,True,False,"{'calories_max': 1298.0, 'sodium_max': 1298.0}","{'calories': 288.8, 'sodium': 1295.9, 'duration': 30.0}",[],"Smoked Sausage and Shrimp Jambalaya - 507 calories, 27.6g protein, 1906mg sodium, ready in 40 minutes, serves 4. Ingredients: {'': [('smoked sausage', '0.75 time(s) lb '), ('onion, chopped', '0.5 time(s) cup '), ('bell pepper, chopped', '0.5 time(s) cup '), ('garlic, minced', '1  time(s) teaspoon '), ('olive oil', '1  time(s) tablespoon '), ('water', '1 1/2 time(s) cups '), ('uncooked rice', '0.5 time(s) cup '), ('salt', '0.25 time(s) teaspoon '), ('cayenne pepper', '0.5 time(s) teaspoon '), ('tabasco sauce', '0.25 time(s) teaspoon '), ('rotel tomatoes & chilies', '1 time(s) (14 1/2 ounce) can '), ('shrimp, medium, peeled, uncooked', '0.25 time(s) lb ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 40 minutes.,"Sweet Potato and Red Pepper Soup - Takes 30 minutes, 100.3 calories, serves 2.",Sweet Potato and Red Pepper Soup,True,exact,False,True,False,{'duration_max': 40.0},"{'calories': 100.3, 'duration': 30.0, 'serves': 2.0}",[],"Sweet Potato and Red Pepper Soup - 135 calories, 2.2g protein, 56mg sodium, ready in 50 minutes, serves 6. Ingredients: {'': [('sweet potatoes', '1 1/4 time(s) lbs '), ('red peppers, about 8oz, seeded and cubed', '2  time(s) '), ('onion, roughly chopped', '1  time(s) '), ('large garlic cloves, roughly chopped', '2  time(s) '), ('dry white wine', '0.5 time(s) pint '), ('pints vegetable stock or 2 pints low-fat chicken broth', '2  time(s) '), ('tabasco sauce (optional)', ' time(s) '), ('sea salt & fresh ground pepper', ' time(s) '), ('country bread, to serve', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 50 minutes.,"Lemon Curd - Takes 45 minutes, 265.5 calories, serves 1.",Lemon Curd,True,exact,True,True,False,{'duration_max': 50.0},"{'calories': 265.5, 'duration': 45.0, 'serves': 1.0}",[],"Lemon Curd - 696 calories, 10.8g protein, 140mg sodium, ready in 15 minutes. Ingredients: {'': [('large egg', '1  time(s) '), ('whites', '2  time(s) large egg '), ('granulated sugar', '0.75 time(s) cup '), ('lemon juice', '0.6666666666666666 time(s) cup '), ('unsalted butter', '2  time(s) tablespoons '), ('freshly grated lemon zest, preferably organic', '1  time(s) tablespoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 16g protein.,"Baked Fudge - 18.5g protein, 275.4 calories, 16.7g fat, 29.3g carbs.",Baked Fudge,True,exact,False,True,False,{'protein_min': 16.0},"{'calories': 275.4, 'protein': 18.5, 'carbs': 29.3, 'total_fat': 16.7}",[],"Baked Fudge - 461 calories, 4.3g protein, 199mg sodium, ready in 60 minutes, serves 4. Ingredients: {'': [('eggs', '2 time(s) '), ('sugar', '1  time(s) cup '), ('cocoa, heaping', '2  time(s) tablespoons '), ('flour', '2  time(s) tablespoons '), ('butter, melted', '0.5 time(s) cup '), ('vanilla extract', '1  time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 2g fiber.,"Baked Apples - 2.2g dietary fiber, 128.4 calories, 33.7g total carbs.",Baked Apples,True,exact,True,True,False,{'fiber_min': 2.0},"{'calories': 128.4, 'fiber': 2.2}",[],"Baked Apples - 397 calories, 1.2g protein, 170mg sodium, ready in 50 minutes, serves 2. Ingredients: {'': [(""apples, cored, peeled, and sliced (each apple should result in about 8-10 slices. and i prefer 'fuji' apples, the are delicious)"", '4  time(s) '), ('honey', '2  time(s) tablespoons '), ('butter', '2  time(s) tablespoons '), ('brown sugar', '2  time(s) tablespoons '), ('white sugar', '2  time(s) teaspoons '), ('ground cinnamon', '1  time(s) tablespoon '), ('lemon, juice of (squeezed)', '1  time(s) '), ('lime, juice of (squeezed)', '1  time(s) '), ('pinch salt', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe around 2207 calories.,"Cranberry Pecan Bread - 2207.2 calories, 31.1g protein, ready in 60 minutes.",Cranberry Pecan Bread,True,substring,False,True,False,"{'calories_min': 2157.0, 'calories_max': 2257.0}","{'calories': 2207.2, 'protein': 31.1, 'duration': 60.0}",[],"Pumpkin Cranberry Pecan Bread - 1554 calories, 22.7g protein, 185mg sodium, ready in 55 minutes. Ingredients: {'bread': [('package philsbury pumpkin quick bread mix', ' time(s) 14 ounce '), ('water', '1 time(s) cup '), ('oil', '3 time(s) tablespoons '), ('eggs', '2 time(s) '), ('dried sweetened cranberries', '/ time(s) cup '), ('chopped pecans', '/ time(s) cup ')], 'topping': [('white chocolate chips', '/ time(s) cup '), ('oil', '1 1/2 time(s) teaspoons '), ('chopped pecans', '2 time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Suggest a ingredients recipe under 221 calories.,"Easy Sausage and Cheese Balls - 221.5 calories, 10.3g protein, ready in 35 minutes.",Easy Sausage and Cheese Balls,True,fuzzy,False,True,False,{'calories_max': 221.0},"{'calories': 221.5, 'protein': 10.3, 'duration': 35.0}",[],"Zesty Sausage and Cheese Balls - 785 calories, 35.5g protein, 1709mg sodium, ready in 45 minutes, serves 6. Ingredients: {'': [('hot sausage', '1  time(s) lb '), ('grated sharp cheddar cheese', '2  time(s) cups '), ('bisquick', '2  time(s) cups '), ('ranch dressing mix (dry)', '0.25 time(s) cup '), ('red cayenne pepper (more or less to liking)', '1  time(s) teaspoon '), ('spray', ' time(s) cooking ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe under 198 calories.,"Crock Pot Italian Beef Sandwiches - 198.4 calories, 33.0g protein, ready in 4 hours 40 minutes.",Crock Pot Italian Beef Sandwiches,True,exact,False,True,False,{'calories_max': 198.0},"{'calories': 198.4, 'protein': 33.0, 'duration': 40.0}",[],"Crock Pot Italian Beef Sandwiches - 473 calories, 33.0g protein, 437mg sodium, ready in 490 minutes, serves 8. Ingredients: {'': [('beef roast', '3  time(s) lbs '), ('package good seasons italian dressing, dry mix', '1 time(s) (2/3 ounce) '), ('use more or less, i use more)', '3  time(s) cloves crushed garlic (can '), ('jar sliced pepperoncini peppers (i add the the liquid of peppers instead of the water, it makes them spicer)', '1 time(s) (8 ounce) '), ('also add half of the liquid and half of the wa)', '6  time(s) ounces water (i add the liquid from the jar of pepperozini, you can ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 40 minutes.,"Bacon Wrapped Stuffed Chicken Breasts - Takes 35 minutes, 344.8 calories, serves 4.",Bacon Wrapped Stuffed Chicken Breasts,True,substring,False,True,False,{'duration_max': 40.0},"{'calories': 344.8, 'duration': 35.0, 'serves': 4.0}",[],"Simple Bacon Wrapped Stuffed Chicken Breasts - 311 calories, 33.5g protein, 446mg sodium, ready in 50 minutes, serves 6. Ingredients: {'': [('boneless skinless chicken breasts', '6  time(s) '), ('slices ham', '6  time(s) '), ('slices muenster cheese', '6  time(s) '), ('slices bacon', '12  time(s) '), ('pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
List a low-sodium recipe under 435mg sodium.,"Easy Chicken Pot Pie - 410.9mg sodium, 524.8 calories, 90 minutes prep time.",Easy Chicken Pot Pie,True,exact,False,True,False,"{'calories_max': 435.0, 'sodium_max': 435.0}","{'calories': 524.8, 'sodium': 410.9, 'duration': 90.0}",[],"Easy Chicken Pot Pie - 449 calories, 20.4g protein, 1056mg sodium, ready in 25 minutes, serves 4. Ingredients: {'': [('package refrigerated pie dough (pillsbury works well)', '0.5 time(s) (15 ounce) '), ('spray', ' time(s) cooking '), ('salt', '0.125 time(s) teaspoon '), ('flour', '2  time(s) tablespoons '), ('dried sage', '1  time(s) teaspoon '), ('salt', '0.25 time(s) teaspoon '), ('pepper', '0.25 time(s) teaspoon '), ('medium boneless skinless chicken breasts, cut into bite sized pieces', '2  time(s) '), ('water', '1 1/4 time(s) cups '), ('frozen corn kernels', '1  time(s) cup '), ('frozen carrots', '1  time(s) cup '), ('frozen green beans', '1  time(s) cup '), ('sliced mushrooms', '1  time(s) cup '), ('condensed cream of chicken soup', '1 time(s) (10 ounce) can ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 520 minutes.,"Cranberry Orange Muffins - Takes 500 minutes, 176.7 calories, serves 1.",Cranberry Orange Muffins,True,exact,True,True,False,{'duration_max': 520.0},"{'calories': 176.7, 'duration': 500.0, 'serves': 1.0}",[],"Cranberry Orange Muffins - 2340 calories, 45.5g protein, 3437mg sodium, ready in 25 minutes. Ingredients: {'': [('self-rising flour', '2  time(s) cups '), ('dried sweetened cranberries', '0.75 time(s) cup '), ('sugar', '0.5 time(s) cup '), ('grated orange rind', '1  time(s) tablespoon '), ('milk', '1  time(s) cup '), ('vegetable oil', '0.25 time(s) cup '), ('large eggs', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Turkey Sausage & Broccoli Rabe - 204.4 calories, 15.7g protein, 6.8g fat, 18.5g carbs.",Turkey Sausage & Broccoli Rabe,True,fuzzy,False,True,False,{'balanced': True},"{'calories': 204.4, 'protein': 15.7, 'carbs': 18.5, 'total_fat': 6.8}",[],"Turkey Sausage With Broccoli - 258 calories, 6.8g protein, 37mg sodium, ready in 35 minutes, serves 12. Ingredients: {'': [('sweet turkey sausage', '3  time(s) lbs '), ('penne pasta', '1 1/4 time(s) lbs '), (""heads broccoli, cut into small pieces, i didn't use stalks"", '2  time(s) '), ('medium onions, cut up', '3  time(s) '), ('white wine', '1  time(s) cup '), ('use margarine)', '3  time(s) tablespoons sweet butter (can '), ('garlic cloves', '3  time(s) '), ('dash oregano', '1  time(s) '), ('dash sage', '1  time(s) '), ('olive oil, enough to cover bottom of large pan and maybe a tad more, definitely a tad more (i love olive oil)', ' time(s) '), ('chili pepper flakes, to taste', ' time(s) '), ('grated parmesan cheese, enough to cover top and mix in casserole (be generous)', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
List a low-sodium recipe under 639mg sodium.,"Peanut Butter Pie - 620.7mg sodium, 334.7 calories, 30 minutes prep time.",Peanut Butter Pie,True,exact,True,True,False,"{'calories_max': 639.0, 'sodium_max': 639.0}","{'calories': 334.7, 'sodium': 620.7, 'duration': 30.0}",[],"peanut butter pie - 535 calories, 6.4g protein, 335mg sodium, ready in 30 minutes, serves 6. Ingredients: {'': [('package low-fat cream cheese', '1 time(s) (8 ounce) '), ('reduced-fat peanut butter', '1  time(s) cup '), ('granulated sugar', '1  time(s) cup '), ('butter', '1  time(s) tablespoon '), ('vanilla', '1  time(s) teaspoon '), ('heavy whipping cream', '1  time(s) cup '), ('prepared pie crust (, chocolate or graham)', '1  time(s) '), ('grated chocolate (, for garnish)', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe around 416 calories.,"Chicken and Apple Stew - 416.1 calories, 31.1g protein, ready in 50 minutes.",Chicken and Apple Stew,True,exact,False,True,False,"{'calories_min': 366.0, 'calories_max': 466.0}","{'calories': 416.1, 'protein': 31.1, 'duration': 50.0}",[],"Chicken and Apple Stew - 347 calories, 24.2g protein, 106mg sodium, ready in 55 minutes, serves 5. Ingredients: {'': [('boneless chicken thighs', '1 1/2 time(s) lbs '), ('large onion, peeled and quartered', '1  time(s) '), ('garlic cloves, crushed', '4  time(s) '), ('medium apples, cored and cut into chunks', '3  time(s) '), ('italian seasoning', ' time(s) '), ('salt and pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 728mg sodium.,"Cheesy Scalloped Potatoes - 716.7mg sodium, 272.9 calories, 45 minutes prep time.",Cheesy Scalloped Potatoes,True,exact,True,True,False,"{'calories_max': 728.0, 'sodium_max': 728.0}","{'calories': 272.9, 'sodium': 716.7, 'duration': 45.0}",[],"Cheesy Scalloped Potatoes - 492 calories, 12.4g protein, 164mg sodium, ready in 80 minutes, serves 4. Ingredients: {'': [('large potatoes, peeled and thinly sliced', '4  time(s) '), ('shredded velveeta cheese', '1  time(s) cup ')], 'white sauce': [('butter', '4  time(s) tablespoons '), ('flour', '4  time(s) tablespoons '), ('milk', '2  time(s) cups '), ('salt and pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 1110mg sodium.,"Chicken and Corn Chowder - 1010.1mg sodium, 258.2 calories, 30 minutes prep time.",Chicken and Corn Chowder,True,exact,True,True,False,"{'calories_max': 1110.0, 'sodium_max': 1110.0}","{'calories': 258.2, 'sodium': 1010.1, 'duration': 30.0}",[],"Chicken and Corn Chowder - 0 calories, 0.0g protein, 0mg sodium, ready in 15 minutes, serves 6. Ingredients: {'': [('corn (frozen, canned, or fresh)', '1 1/2 time(s) cups '), ('medium potatoes, chopped into bite size bits', '4  time(s) '), ('chicken, cooked and shredded', '2  time(s) cups '), ('chicken broth', '4  time(s) cups '), ('coconut milk', '1 1/2 time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 123 calories.,"Gingerbread Cookies - 123.3 calories, 1.2g protein, ready in 60 minutes.",Gingerbread Cookies,True,exact,False,True,False,{'calories_max': 123.0},"{'calories': 123.3, 'protein': 1.2, 'duration': 60.0}",[],"Gingerbread Cookies - 1063 calories, 15.6g protein, 889mg sodium, ready in 80 minutes, serves 6. Ingredients: {'': [('all-purpose flour', '6  time(s) cups '), ('baking soda', '1  time(s) teaspoon '), ('baking powder', '0.5 time(s) teaspoon '), ('unsalted butter, room temperature', '0.5 time(s) lb '), ('dark brown sugar, packed', '1  time(s) cup '), ('ground ginger', '4  time(s) teaspoons '), ('ground cinnamon', '4  time(s) teaspoons '), ('ground cloves', '1 1/2 time(s) teaspoons '), ('finely ground black pepper', '1  time(s) teaspoon '), ('salt', '1 1/2 time(s) teaspoons '), ('large eggs', '2  time(s) '), ('unsulphured molasses', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Baked Chicken - 352.1 calories, 39.0g protein, 7.0g fat, 0.0g carbs.",Baked Chicken,True,exact,False,True,False,{'balanced': True},"{'calories': 352.1, 'protein': 39.0, 'carbs': 0.0, 'total_fat': 7.0}",[],"Baked Chicken - 949 calories, 75.3g protein, 299mg sodium, ready in 10 minutes, serves 2. Ingredients: {'': [('whole chickens', '1 time(s) (3 lb) '), ('seasoning', ' time(s) '), ('spray (or similar product)', ' time(s) pam cooking '), ('aluminum foil', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 16 calories.,"Broccoli and Cheddar Souffle - 16.7 calories, 0.4g protein, ready in 40 minutes.",Broccoli and Cheddar Souffle,True,fuzzy,False,True,False,{'calories_max': 16.0},"{'calories': 16.7, 'protein': 0.4, 'duration': 40.0}",[],"Broccoli and Cheddar Soup - 569 calories, 23.0g protein, 1062mg sodium, ready in 65 minutes, serves 16. Ingredients: {'': [('butter, melted', '1  time(s) cup '), ('flour', '1  time(s) cup '), ('half-and-half', '8  time(s) cups '), ('chicken broth', '8  time(s) cups '), ('broccoli, chopped', '2  time(s) lbs '), ('carrots, shredded', '4  time(s) cups '), ('sharp cheddar cheese, shredded', '8  time(s) cups '), ('salt', '1  time(s) teaspoon '), ('pepper', '1  time(s) teaspoon '), ('nutmeg', '1  time(s) teaspoon '), ('cayenne', '1  time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
List a low-sodium recipe under 1509mg sodium.,"Spicy Chicken Salad - 1507.6mg sodium, 257.8 calories, 10 minutes prep time.",Spicy Chicken Salad,True,exact,True,True,False,"{'calories_max': 1509.0, 'sodium_max': 1509.0}","{'calories': 257.8, 'sodium': 1507.6, 'duration': 10.0}",[],"Spicy Chicken Salad - 813 calories, 42.1g protein, 1297mg sodium, ready in 55 minutes, serves 4. Ingredients: {'': [('cooked chicken breasts, diced', '4  time(s) '), ('fresh lemon juice', '1 1/2 time(s) cups '), ('whole habanero pepper, chopped', '1  time(s) '), ('grated lemon zest', '1  time(s) teaspoon '), ('mayonnaise', '1  time(s) cup '), ('small red onion, finely diced', '1  time(s) '), ('celery ribs, finely diced', '3 -4  time(s) '), ('fresh italian parsley, chopped', '2  time(s) tablespoons '), ('slices french bread or 8 slices ciabatta', '8  time(s) '), ('bunch watercress, rinsed and dried', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 18g protein.,"Chicken Fajita Nachos - 20.2g protein, 275.6 calories, 20.2g fat, 9.8g carbs.",Chicken Fajita Nachos,True,exact,True,True,False,{'protein_min': 18.0},"{'calories': 275.6, 'protein': 20.2, 'carbs': 9.8, 'total_fat': 20.2}",[],"Chicken Fajita Nachos - 285 calories, 18.7g protein, 400mg sodium, ready in 68 minutes, serves 8. Ingredients: {'': [('lime juice', '2  time(s) tablespoons '), ('extra virgin olive oil, divided', '2  time(s) tablespoons '), ('salt', '0.5 time(s) teaspoon '), ('fresh ground black pepper', '0.25 time(s) teaspoon '), ('boneless skinless chicken breasts, lightly pounded to an even thickness', '2 time(s) (7 ounce) '), ('medium onion, chopped', '1  time(s) '), ('small red bell pepper, chopped into 1/2-inch dice', '1  time(s) '), ('jalapeno pepper, seeded and finely chopped', '1  time(s) '), ('garlic cloves, chopped', '2  time(s) '), ('tortilla chips', '6  time(s) ounces '), ('shredded sharp cheddar cheese', '1 1/2 time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 26 minutes.,"Spicy Thai Noodle Soup - Takes 20 minutes, 159.6 calories, serves 4.",Spicy Thai Noodle Soup,True,fuzzy,True,True,False,{'duration_max': 26.0},"{'calories': 159.6, 'duration': 20.0, 'serves': 4.0}",[],"Spicy Thai Noodles - 370 calories, 19.6g protein, 2005mg sodium, ready in 25 minutes, serves 4. Ingredients: {'': [('rice noodles', '8  time(s) ounces '), ('coconut oil', '1  time(s) tablespoon '), ('red pepper flakes)', '2  time(s) thai chiles, minced (or 1/2 teaspoon '), ('carrot, thinly sliced', '1  time(s) '), ('green bell pepper, thinly sliced', '1  time(s) '), ('green onions, thinly sliced', '4  time(s) '), ('shrimp, peeled and deveined (or ground turkey, chicken, or pork)', '9  time(s) ounces '), ('garlic cloves, minced', '4  time(s) '), ('fish sauce', '1 1/2 time(s) tablespoons '), ('soy sauce', '3  time(s) tablespoons '), ('palm sugar', '1 1/2 time(s) tablespoons '), ('thai basil', '0.25 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 80 minutes.,"Chicken Fajita Quesadillas - Takes 75 minutes, 253.0 calories, serves 4.",Chicken Fajita Quesadillas,True,substring,True,True,False,{'duration_max': 80.0},"{'calories': 253.0, 'duration': 75.0, 'serves': 4.0}",[],"Cheesy Chicken Fajita Quesadillas - 237 calories, 19.7g protein, 595mg sodium, ready in 25 minutes, serves 6. Ingredients: {'': [('boneless skinless chicken breast, cut into thin strips', '0.5 time(s) lb '), ('salsa', '0.5 time(s) cup '), ('medium green peppers or 1 medium red pepper, cut into strips', '1  time(s) '), ('sliced onion', '0.5 time(s) cup '), ('kraft shredded 2% milk reduced-fat sharp cheddar cheese', '1 1/2 time(s) cups '), ('flour tortillas', '6 time(s) (6 inch) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Find a high-protein recipe with at least 24g protein.,"Chicken Pot Pie - 27.6g protein, 444.3 calories, 27.3g fat, 19.2g carbs.",Chicken Pot Pie,True,exact,True,True,False,{'protein_min': 24.0},"{'calories': 444.3, 'protein': 27.6, 'carbs': 19.2, 'total_fat': 27.3}",[],"Chicken Pot Pie - 27.6g protein, 444.3 calories, 27.3g fat, 19.2g carbs.",,
Recommend a quick recipe that takes less than 35 minutes.,"Chicken and Broccoli Alfredo - Takes 25 minutes, 348.2 calories, serves 1.",Chicken and Broccoli Alfredo,True,exact,True,True,False,{'duration_max': 35.0},"{'calories': 348.2, 'duration': 25.0, 'serves': 1.0}",[],"Chicken and Broccoli Alfredo - 526 calories, 41.2g protein, 786mg sodium, ready in 30 minutes, serves 4. Ingredients: {'': [('package linguine', '0.5 time(s) (16 ounce) '), ('broccoli floret', '1  time(s) cup '), ('butter', '2  time(s) tablespoons '), ('boneless skinless chicken breast, cut into 1 1/2 inch pieces', '1  time(s) lb '), ('can condensed cream of mushroom soup', '1 time(s) (10 ounce) can '), ('milk', '0.5 time(s) cup '), ('grated parmesan cheese', '0.5 time(s) cup '), ('ground black pepper', '0.25 time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
